client_id,first_name,last_name,email,phone
1,Kelly,Gibson,johnlarson@azet.sk,+421 901 425 408
2,Michael,Mann,beckerteresa@centrum.sk,+421 938 395 719
3,Jennifer,Jordan,dbrown@atlas.sk,+421 934 942 415
4,Jason,Gonzalez,johnsontommy@centrum.sk,+421 910 760 145
5,Tyler,Aguilar,fnorman@chello.sk,+421 911 371 447
6,Charles,Parrish,waltonalexis@pobox.sk,+421 951 590 412
7,Susan,Evans,angelica39@gmail.com,+421 93 939 181
8,Wendy,Jenkins,smueller@zoznam.sk,+421 938 979 358
9,Erica,Macias,wallaceamanda@chello.sk,+421 931 727 922
10,Megan,Cervantes,nichole68@chello.sk,+421 979 418 638
